Asset,Total_Loss,Total_Wind_Loss,Total_Fluvial_Loss,Total_Coastal_Loss,Total_Exposed_Value,Total_Value,Number_Exposed,Number_Damaged,Total_Number,By_Loss.range_<_1.Number,By_Loss.range_<_1.Total_Loss,By_Loss.range_1_100.Number,By_Loss.range_1_100.Total_Loss,By_Loss.range_100_1000.Number,By_Loss.range_100_1000.Total_Loss,By_Loss.range_1000_10000.Number,By_Loss.range_1000_10000.Total_Loss,By_Loss.range_10000_100000.Number,By_Loss.range_10000_100000.Total_Loss,By_Loss.range_100000_+.Number,By_Loss.range_100000_+.Total_Loss
Water,90,50,0,40,210335,294035,116,12,314,309,1,5,88,0,0,0,0,0,0,0,0
School,0,0,0,0,0,0,196,0,470,470,0,0,0,0,0,0,0,0,0,0,0
Airport,2366,0,0,2366,10712385,34174449,6537,75,19449,19374,0,75,2366,0,0,0,0,0,0,0,0
Port,4966021,0,0,4966021,31739543,50583762,653,517,1265,748,0,20,905,55,31290,252,1124347,190,3809479,0,0
Building,226151094,223793504,0,2357590,1992754648,8139082614,62981,51756,178520,127300,262,7130,251133,17512,8064973,21018,75544928,5467,120087044,93,22202753
Road,483255,0,0,483255,222300359,647158009,134834,2354,440443,438089,0,1477,85929,774,204472,103,192854,0,0,0,0
Evacuation Centre,0,0,0,0,0,0,520,0,563,563,0,0,0,0,0,0,0,0,0,0,0
Health Facility,0,0,0,0,0,0,63,0,136,136,0,0,0,0,0,0,0,0,0,0,0
Telecommunication,698,698,0,0,420000,3570000,4,1,34,33,0,0,0,1,698,0,0,0,0,0,0
Power,0,0,0,0,1333049,25618026,2,0,10,10,0,0,0,0,0,0,0,0,0,0,0
Crop,114621,0,0,114621,26868493,56705031,50490,423,96832,96409,0,132,3012,287,106310,4,5299,0,0,0,0
Bridge,18708,0,0,18708,668348,5591873,38,1,116,115,0,0,0,0,0,0,0,1,18708,0,0
