Sector,Region,Total_Loss,Total_Wind_Loss,Total_Fluvial_Loss,Total_Coastal_Loss,Total_Exposed_Value,Total_Value,Number_Exposed_Buildings,Number_Damaged_Buildings,Total_Number_Buildings,Building_Loss,Total_Exposed_Building_Value,Total_Building_Value,By_Loss.range_<_1.Number,By_Loss.range_<_1.Total_Loss,By_Loss.range_1_100.Number,By_Loss.range_1_100.Total_Loss,By_Loss.range_100_1000.Number,By_Loss.range_100_1000.Total_Loss,By_Loss.range_1000_10000.Number,By_Loss.range_1000_10000.Total_Loss,By_Loss.range_10000_100000.Number,By_Loss.range_10000_100000.Total_Loss,By_Loss.range_100000_+.Number,By_Loss.range_100000_+.Total_Loss
Productive,,0,0,0,0,0,318045,0,0,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0
Unknown,,0,0,0,0,0,529295,0,0,36,0,0,529295,36,0,0,0,0,0,0,0,0,0,0,0
Education,'Eua,0,0,0,0,0,1855213,0,0,22,0,0,1855213,22,0,0,0,0,0,0,0,0,0,0,0
Infrastructure,'Eua,0,0,0,0,0,20667047,0,0,3,0,0,137265,28720,0,0,0,0,0,0,0,0,0,0,0
Other,'Eua,0,0,0,0,0,7992438,0,0,337,0,0,7992438,337,0,0,0,0,0,0,0,0,0,0,0
Productive,'Eua,0,0,0,0,0,4735614,0,0,47,0,0,2420121,3539,0,0,0,0,0,0,0,0,0,0,0
Public,'Eua,0,0,0,0,0,12116836,0,0,85,0,0,12116836,85,0,0,0,0,0,0,0,0,0,0,0
Residential,'Eua,0,0,0,0,0,55092484,0,0,1096,0,0,55092484,1096,0,0,0,0,0,0,0,0,0,0,0
Unknown,'Eua,0,0,0,0,0,34338686,0,0,995,0,0,34338686,995,0,0,0,0,0,0,0,0,0,0,0
Education,Ha'apai,0,0,0,0,0,9485030,0,0,33,0,0,9485030,33,0,0,0,0,0,0,0,0,0,0,0
Infrastructure,Ha'apai,0,0,0,0,0,19422048,0,0,4,0,0,225445,18448,0,0,0,0,0,0,0,0,0,0,0
Other,Ha'apai,0,0,0,0,0,4278767,0,0,293,0,0,4278767,293,0,0,0,0,0,0,0,0,0,0,0
Productive,Ha'apai,0,0,0,0,0,5641496,0,0,82,0,0,4162605,3479,0,0,0,0,0,0,0,0,0,0,0
Public,Ha'apai,0,0,0,0,0,10727980,0,0,96,0,0,10727980,96,0,0,0,0,0,0,0,0,0,0,0
Residential,Ha'apai,0,0,0,0,0,41818285,0,0,1496,0,0,41818285,1496,0,0,0,0,0,0,0,0,0,0,0
Unknown,Ha'apai,0,0,0,0,0,60836257,0,0,2619,0,0,60836257,2619,0,0,0,0,0,0,0,0,0,0,0
Infrastructure,Niuas,0,0,0,0,0,7911588,0,0,1,0,0,10205,8490,0,0,0,0,0,0,0,0,0,0,0
Other,Niuas,0,0,0,0,0,249944,0,0,6,0,0,249944,6,0,0,0,0,0,0,0,0,0,0,0
Productive,Niuas,0,0,0,0,0,638723,0,0,5,0,0,101793,1371,0,0,0,0,0,0,0,0,0,0,0
Public,Niuas,0,0,0,0,0,175353,0,0,5,0,0,175353,5,0,0,0,0,0,0,0,0,0,0,0
Residential,Niuas,0,0,0,0,0,7047683,0,0,262,0,0,7047683,262,0,0,0,0,0,0,0,0,0,0,0
Unknown,Niuas,0,0,0,0,0,11710684,0,0,455,0,0,11710684,455,0,0,0,0,0,0,0,0,0,0,0
Education,Tongatapu,0,0,0,0,0,5335068,0,0,43,0,0,5335068,43,0,0,0,0,0,0,0,0,0,0,0
Infrastructure,Tongatapu,0,0,0,0,0,322095961,0,0,122,0,0,6583511,156595,0,0,0,0,0,0,0,0,0,0,0
Other,Tongatapu,0,0,0,0,0,71685158,0,0,2445,0,0,71685158,2445,0,0,0,0,0,0,0,0,0,0,0
Productive,Tongatapu,0,0,0,0,0,281381432,0,0,2211,0,0,263429835,31343,0,0,0,0,0,0,0,0,0,0,0
Public,Tongatapu,0,0,0,0,0,218622316,0,0,1372,0,0,218622316,1372,0,0,0,0,0,0,0,0,0,0,0
Residential,Tongatapu,0,0,0,0,0,1147557892,0,0,21704,0,0,1147557892,21704,0,0,0,0,0,0,0,0,0,0,0
Unknown,Tongatapu,0,0,0,0,0,356826541,0,0,10390,0,0,356826541,10390,0,0,0,0,0,0,0,0,0,0,0
Education,Vava'u,0,0,0,0,0,7990741,0,0,40,0,0,7990741,40,0,0,0,0,0,0,0,0,0,0,0
Infrastructure,Vava'u,0,0,0,0,0,64985411,0,0,41,0,0,1915683,28357,0,0,0,0,0,0,0,0,0,0,0
Other,Vava'u,0,0,0,0,0,23151980,0,0,967,0,0,23151980,967,0,0,0,0,0,0,0,0,0,0,0
Productive,Vava'u,0,0,0,0,0,28115648,0,0,401,0,0,25157297,7011,0,0,0,0,0,0,0,0,0,0,0
Public,Vava'u,0,0,0,0,0,32753674,0,0,274,0,0,32753674,274,0,0,0,0,0,0,0,0,0,0,0
Residential,Vava'u,0,0,0,0,0,185351262,0,0,4218,0,0,185351262,4218,0,0,0,0,0,0,0,0,0,0,0
Unknown,Vava'u,0,0,0,0,0,33735625,0,0,984,0,0,33735625,984,0,0,0,0,0,0,0,0,0,0,0
