Asset,Total_Loss,Total_Wind_Loss,Total_Fluvial_Loss,Total_Coastal_Loss,Total_Exposed_Value,Total_Value,Number_Exposed,Number_Damaged,Total_Number,By_Loss.range_<_1.Number,By_Loss.range_<_1.Total_Loss,By_Loss.range_1_100.Number,By_Loss.range_1_100.Total_Loss,By_Loss.range_100_1000.Number,By_Loss.range_100_1000.Total_Loss,By_Loss.range_1000_10000.Number,By_Loss.range_1000_10000.Total_Loss,By_Loss.range_10000_100000.Number,By_Loss.range_10000_100000.Total_Loss,By_Loss.range_100000_+.Number,By_Loss.range_100000_+.Total_Loss
Airport,0,0,0,0,24752225,30795455,4,0,10,20,0,0,0,0,0,0,0,0,0,0,0
Bridge,0,0,0,0,1872906,1872906,7,0,7,14,0,0,0,0,0,0,0,0,0,0,0
Building,44156701,44067486,0,89215,1205931245,1410912980,13116,12400,18546,24766,41,4089,132731,3415,1423684,3709,13035272,1096,26885469,17,2679504
Crop,12838,0,0,12838,6805334,9210241,4895,36,7889,15742,0,12,203,22,9535,2,3100,0,0,0,0
Evacuation Centre,0,0,0,0,0,0,25,0,44,88,0,0,0,0,0,0,0,0,0,0,0
Health Facility,0,0,0,0,0,0,7,0,9,18,0,0,0,0,0,0,0,0,0,0,0
Port,1476394,0,0,1476394,28360903,29690715,531,113,667,1221,0,5,138,15,7603,39,149921,54,1318732,0,0
Power,41078,41078,0,0,5037518,8995068,16,2,33,64,0,0,0,0,0,1,9610,1,31468,0,0
Road,10302,0,0,10302,97155720,118282143,40945,86,63817,127548,0,61,3541,25,6761,0,0,0,0,0,0
School,0,0,0,0,0,0,17,0,32,64,0,0,0,0,0,0,0,0,0,0,0
Telecommunication,89591,89591,0,0,1035000,1150000,16,5,18,31,0,0,0,0,0,2,2304,3,87287,0,0
Water,0,0,0,0,1527428,1597628,44,0,53,106,0,0,0,0,0,0,0,0,0,0,0
