Time[fmt=yyyy-MM-dd'T'HH:mm:ss'Z'],Latitude,Longitude,Symbol,Category,Pressure,PressureOCI,RadiusOCI,Radius1000hPa,RadiusMaxWinds,MeanWind,WindGust,VerticalExtent,Uncertainty,FinalT,CurrentIntensity,GaleRadius,StrongGaleRadius,StormRadius,HurricaneRadius,NEGaleRadius,SEGaleRadius,SWGaleRadius,NWGaleRadius,NEStrongGaleRadius,SEStrongGaleRadius,SWStrongGaleRadius,NWStrongGaleRadius,NEStormRadius,SEStormRadius,SWStormRadius,NWStormRadius,NEHurricaneRadius,SEHurricaneRadius,SWHurricaneRadius,NWHurricaneRadius,P5Wind,DataSource,Land/Water,CycloneStatus,HowLocation,DataTNoDvorak,ModelTNoDvorak,PatternTNoDvorak,UncPressure,HowPressure,P/W_Method,HowMaxWindRadius,HowGaleRadius,HowStormRadius,HowHurricaneRadius,UncMaxWindSpeed,HowMaxWindSpeed,HowGust,EyeRadius,UncEyeRadius,HowEyeRadius
2023-10-23T03:00:00Z,-12.7,169.4,4.0,3.0,964.0,1006.0,180.0,100.0,NaN,80.0,110.0,3.0,15.0,5.0,5.0,NaN,NaN,NaN,NaN,140.0,150.0,120.0,100.0,NaN,NaN,NaN,NaN,70.0,70.0,60.0,60.0,40.0,40.0,30.0,30.0,90.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-10-23T09:00:00Z,-13.10278,169.38056,4.0,3.0,959.0,1006.0,NaN,NaN,NaN,85.0,120.0,NaN,30.0,NaN,NaN,NaN,NaN,NaN,NaN,140.0,150.0,120.0,100.0,NaN,NaN,NaN,NaN,70.0,70.0,60.0,60.0,40.0,40.0,30.0,30.0,100.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-10-23T15:00:00Z,-13.575,169.23334,4.0,4.0,955.0,1006.0,NaN,NaN,NaN,90.0,125.0,NaN,45.0,NaN,NaN,NaN,NaN,NaN,NaN,140.0,150.0,120.0,100.0,NaN,NaN,NaN,NaN,70.0,70.0,60.0,60.0,40.0,40.0,30.0,30.0,110.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-10-23T21:00:00Z,-14.04167,168.94167,4.0,4.0,950.0,1006.0,NaN,NaN,NaN,95.0,135.0,NaN,60.0,NaN,NaN,NaN,NaN,NaN,NaN,140.0,150.0,120.0,100.0,NaN,NaN,NaN,NaN,70.0,70.0,60.0,60.0,40.0,40.0,30.0,30.0,115.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-10-24T03:00:00Z,-14.52083,168.57917,4.0,4.0,945.0,1006.0,NaN,NaN,NaN,100.0,140.0,NaN,75.0,NaN,NaN,NaN,NaN,NaN,NaN,140.0,150.0,120.0,100.0,NaN,NaN,NaN,NaN,70.0,70.0,60.0,60.0,40.0,40.0,30.0,30.0,125.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-10-24T09:00:00Z,-15.02083,168.12083,4.0,4.0,946.0,1006.0,NaN,NaN,NaN,100.0,140.0,NaN,91.0,NaN,NaN,NaN,NaN,NaN,NaN,140.0,150.0,120.0,100.0,NaN,NaN,NaN,NaN,70.0,70.0,60.0,60.0,40.0,40.0,30.0,30.0,125.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-10-24T15:00:00Z,-15.50417,167.58333,4.0,4.0,951.0,1006.0,NaN,NaN,NaN,95.0,135.0,NaN,108.0,NaN,NaN,NaN,NaN,NaN,NaN,140.0,150.0,120.0,100.0,NaN,NaN,NaN,NaN,70.0,70.0,60.0,60.0,40.0,40.0,30.0,30.0,120.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-10-24T21:00:00Z,-15.99583,167.03334,4.0,4.0,951.0,1006.0,NaN,NaN,NaN,95.0,135.0,NaN,124.0,NaN,NaN,NaN,NaN,NaN,NaN,140.0,150.0,120.0,100.0,NaN,NaN,NaN,NaN,70.0,70.0,60.0,60.0,40.0,40.0,30.0,30.0,120.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-10-25T03:00:00Z,-16.52292,166.60417,4.0,3.0,961.0,1006.0,NaN,NaN,NaN,85.0,125.0,NaN,140.0,NaN,NaN,NaN,NaN,NaN,NaN,140.0,150.0,120.0,100.0,NaN,NaN,NaN,NaN,70.0,70.0,60.0,60.0,40.0,40.0,30.0,30.0,115.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-10-25T09:00:00Z,-16.99375,166.2875,4.0,3.0,965.0,1006.0,NaN,NaN,NaN,80.0,110.0,NaN,164.0,NaN,NaN,NaN,NaN,NaN,NaN,140.0,150.0,120.0,100.0,NaN,NaN,NaN,NaN,70.0,70.0,60.0,60.0,40.0,40.0,30.0,30.0,110.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
