Asset,Total_Loss,Total_Wind_Loss,Total_Fluvial_Loss,Total_Coastal_Loss,Total_Exposed_Value,Total_Value,Number_Exposed,Number_Damaged,Total_Number,By_Loss.range_<_1.Number,By_Loss.range_<_1.Total_Loss,By_Loss.range_1_100.Number,By_Loss.range_1_100.Total_Loss,By_Loss.range_100_1000.Number,By_Loss.range_100_1000.Total_Loss,By_Loss.range_1000_10000.Number,By_Loss.range_1000_10000.Total_Loss,By_Loss.range_10000_100000.Number,By_Loss.range_10000_100000.Total_Loss,By_Loss.range_100000_+.Number,By_Loss.range_100000_+.Total_Loss
Water,0,0,0,0,6051300,12430100,64,0,120,120,0,0,0,0,0,0,0,0,0,0,0
School,0,0,0,0,0,0,177,0,804,804,0,0,0,0,0,0,0,0,0,0,0
Airport,0,0,0,0,21495584,22426223,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0
Port,195744,0,0,195744,48841713,52646083,887,72,1108,1036,0,3,53,23,10853,44,152717,2,32121,0,0
Building,9090260,8955853,0,134407,1095748301,4693939412,24014,8852,88415,79888,139,4233,117213,2771,1030692,1345,3893296,177,3916339,1,132581
Road,20743,0,0,20743,240608906,591157879,122347,339,282028,281689,0,291,11565,48,9178,0,0,0,0,0,0
Evacuation Centre,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0
Health Facility,0,0,0,0,0,0,20,0,103,103,0,0,0,0,0,0,0,0,0,0,0
Bridge,49260,0,0,49260,6429909,13179647,20,3,52,49,0,0,0,0,0,1,3055,2,46205,0,0
Crop,629,0,0,629,14872932,29465927,2489,3,4877,4874,0,2,156,1,473,0,0,0,0,0,0
Power,0,0,0,0,29471017,75289717,7,0,19,19,0,0,0,0,0,0,0,0,0,0,0
