Sector,Region,Total_Loss,Total_Wind_Loss,Total_Fluvial_Loss,Total_Coastal_Loss,Total_Exposed_Value,Total_Value,Number_Exposed_Buildings,Number_Damaged_Buildings,Total_Number_Buildings,Building_Loss,Total_Exposed_Building_Value,Total_Building_Value,By_Loss.range_<_1.Number,By_Loss.range_<_1.Total_Loss,By_Loss.range_1_100.Number,By_Loss.range_1_100.Total_Loss,By_Loss.range_100_1000.Number,By_Loss.range_100_1000.Total_Loss,By_Loss.range_1000_10000.Number,By_Loss.range_1000_10000.Total_Loss,By_Loss.range_10000_100000.Number,By_Loss.range_10000_100000.Total_Loss,By_Loss.range_100000_+.Number,By_Loss.range_100000_+.Total_Loss
Infrastructure,A'ana,9354,2940,0,6414,76284225,105552331,18,5,26,2940,10442290,14965244,38879,0,24,878,33,6592,1,1884,0,0,0,0
Other,A'ana,20332,20206,0,126,1224550,3706917,34,17,105,20332,1224550,3706917,88,0,7,244,3,901,7,19187,0,0,0,0
Productive,A'ana,75897,74500,0,1397,19442228,37336717,220,69,656,75897,15269888,32706239,1321,0,46,1277,12,5096,8,26414,3,43110,0,0
Public,A'ana,1689,1689,0,0,4110286,8839588,21,5,64,1689,4110286,8839588,59,0,1,88,4,1601,0,0,0,0,0,0
Residential,A'ana,776760,760566,0,16194,134501776,241132942,2745,1585,5135,776760,134501776,241132942,3594,24,1046,26801,368,114879,110,313886,17,321171,0,0
Unknown,A'ana,1546249,1534280,0,11969,54101880,115194985,1890,633,3706,1546249,54101880,115194985,3073,0,69,3447,315,140391,217,645440,32,756971,0,0
Infrastructure,Aiga-i-le-Tai,8484,1370,0,7114,10488770,11180113,4,4,4,1370,828929,828929,6148,0,48,2053,4,1429,3,5003,0,0,0,0
Other,Aiga-i-le-Tai,22716,22716,0,0,551839,551839,20,20,20,22716,551839,551839,0,0,6,127,9,3659,5,18930,0,0,0,0
Productive,Aiga-i-le-Tai,45959,45847,0,112,4733686,6429821,109,82,145,45959,3686146,5340553,242,5,45,1595,19,3964,7,27160,1,13235,0,0
Public,Aiga-i-le-Tai,5410,5410,0,0,2274481,4507409,15,9,35,5410,2274481,4507409,27,0,5,118,1,110,2,5182,0,0,0,0
Residential,Aiga-i-le-Tai,342096,338255,0,3841,39788417,52304048,998,778,1307,342096,39788417,52304048,546,7,466,13683,248,79209,43,120290,4,128906,0,0
Unknown,Aiga-i-le-Tai,956733,954573,0,2160,21130708,28214976,912,533,1235,956733,21130708,28214976,702,0,60,3016,293,124815,161,451544,19,377357,0,0
Infrastructure,Atua,47547,0,0,47547,75945913,137829733,9,0,23,0,258196,928121,38164,0,62,2692,13,4142,8,16128,1,24585,0,0
Other,Atua,204,204,0,0,1260926,2970878,35,5,87,204,1260926,2970878,82,0,5,204,0,0,0,0,0,0,0,0
Productive,Atua,3174,3174,0,0,5888630,11907721,76,17,178,3174,2555606,7552361,999,0,11,245,2,449,1,2480,0,0,0,0
Public,Atua,530,530,0,0,2318588,6695020,60,9,156,530,2318588,6695020,151,1,4,187,1,342,0,0,0,0,0,0
Residential,Atua,296982,289442,0,7540,86182168,231237137,2152,753,5345,296982,86182168,231237137,4630,16,502,13195,159,52519,50,120631,4,110622,0,0
Unknown,Atua,360053,357275,0,2778,61424160,135061553,2535,249,5318,360053,61424160,135061553,5069,0,33,1831,129,51174,82,200634,5,106414,0,0
Infrastructure,Fa'asaleleage,29970,0,0,29970,1458103,53209150,0,0,6,0,0,1066097,26561,0,1,29,7,3770,9,26171,0,0,0,0
Other,Fa'asaleleage,199,199,0,0,74943,3258216,2,2,56,199,74943,3258216,54,0,1,42,1,157,0,0,0,0,0,0
Productive,Fa'asaleleage,88,22,0,66,1047907,38334938,15,5,494,88,934025,35127549,1010,0,5,88,0,0,0,0,0,0,0,0
Public,Fa'asaleleage,0,0,0,0,0,1862868,0,0,43,0,0,1862868,43,0,0,0,0,0,0,0,0,0,0,0
Residential,Fa'asaleleage,193,193,0,0,2782197,170727166,37,7,3702,193,2782197,170727166,3695,0,6,71,1,122,0,0,0,0,0,0
Unknown,Fa'asaleleage,40142,39821,0,321,5704962,104736619,92,26,3022,40142,5704962,104736619,2996,0,5,181,13,4850,7,16459,1,18653,0,0
Infrastructure,Gaga'emauga,0,0,0,0,10217547,39985761,0,0,1,0,0,35887,14687,0,0,0,0,0,0,0,0,0,0,0
Other,Gaga'emauga,4032,4032,0,0,1427632,2272848,15,8,28,4032,1427632,2272848,20,0,7,176,0,0,1,3856,0,0,0,0
Productive,Gaga'emauga,22987,22987,0,0,4402917,9429919,33,19,86,22987,4111256,7209208,487,0,7,108,9,2017,2,10675,1,10187,0,0
Public,Gaga'emauga,20291,20291,0,0,992154,2765223,26,6,60,20291,992154,2765223,54,0,4,17,0,0,1,6807,1,13467,0,0
Residential,Gaga'emauga,108246,108026,0,220,50773218,103344620,1014,370,2237,108246,50773218,103344620,1899,16,250,5498,62,19035,25,70942,1,12756,0,0
Unknown,Gaga'emauga,240309,239678,0,631,10965977,48014155,353,133,1821,240309,10965977,48014155,1688,0,13,521,69,28371,45,124395,6,87022,0,0
Infrastructure,Gaga'ifomauga,0,0,0,0,12702546,40874493,0,0,0,0,0,0,13510,0,0,0,0,0,0,0,0,0,0,0
Other,Gaga'ifomauga,40,40,0,0,519897,972855,13,7,23,40,519897,972855,18,1,5,39,0,0,0,0,0,0,0,0
Productive,Gaga'ifomauga,1567,1567,0,0,2688217,8582802,37,17,81,1567,2390474,5048573,479,2,12,127,1,124,1,1315,0,0,0,0
Public,Gaga'ifomauga,153,153,0,0,754829,1438285,16,5,39,153,754829,1438285,34,0,5,153,0,0,0,0,0,0,0,0
Residential,Gaga'ifomauga,90986,90986,0,0,32496289,64862079,707,239,1482,90986,32496289,64862079,1261,6,174,3695,31,9721,14,50332,2,27231,0,0
Unknown,Gaga'ifomauga,275540,275540,0,0,11691357,27206467,392,209,974,275540,11691357,27206467,765,0,24,1428,142,51088,39,87262,4,135762,0,0
Infrastructure,Palauli,21651,31,0,21620,24078414,59610374,5,2,13,31,160790,803781,20275,0,2,31,0,0,0,0,1,21620,0,0
Other,Palauli,0,0,0,0,310838,3642403,7,0,81,0,310838,3642403,81,0,0,0,0,0,0,0,0,0,0,0
