Region_ID,Region,Average_Wind_Gusts,Max_Wind_Gusts,Buildings_Exposed_To_Wind,Buildings_Exposed_To_Fluvial_Flooding,Buildings_Exposed_To_Coastal_Flooding,Buildings_Exposed_To_Any_Hazard,Damaged_Buildings,Exposed_Residential_Buildings,Exposed_Nonresidential_Buildings,Total_Buildings,Building_Loss,Residential_Building_Loss,Nonresidential_Building_Loss,Exposed_Building_Value,Total_Building_Value,Population_Exposed_To_Wind,Population_Exposed_To_Fluvial_Flooding,Population_Exposed_To_Coastal_Flooding,Population_Exposed_To_Any_Hazard,Total_Population,Exposed_Households,Total_Households,Road_km_Exposed_To_Flooding,Damaged_Road_km,Total_Road_km,Road_Value_Exposed_To_Flooding,Road_Loss,Total_Road_Value,Exposed_Infrastructure_Value,Infrastructure_Loss,Total_Infrastructure_Value,Exposed_Infrastructure,Damaged_Infrastructure,Total_Infrastructure,Exposed_Crop_Value,Crop_Loss,Total_Crop_Value,Exposed_Evacuation_Centres,Total_Evacuation_Centres,Exposed_Health_Facilties,Total_Health_Facilties,Exposed_Schools,Total_Schools,Total_Exposed_Value_To_Wind,Total_Exposed_Value_To_Fluvial_Flooding,Total_Exposed_Value_To_Coastal_Flooding,Total_Exposed_Value_To_Any_Hazard,Total_Value,Total_Wind_Loss,Total_Fluvial_Loss,Total_Coastal_Loss,Total_Loss,Wind_Gusts_kmph.range_<_83.Buildings,Wind_Gusts_kmph.range_<_83.Population,Wind_Gusts_kmph.range_<_83.Total_Loss,Wind_Gusts_kmph.range_83_125.Buildings,Wind_Gusts_kmph.range_83_125.Population,Wind_Gusts_kmph.range_83_125.Total_Loss,Wind_Gusts_kmph.range_125_164.Buildings,Wind_Gusts_kmph.range_125_164.Population,Wind_Gusts_kmph.range_125_164.Total_Loss,Wind_Gusts_kmph.range_164_224.Buildings,Wind_Gusts_kmph.range_164_224.Population,Wind_Gusts_kmph.range_164_224.Total_Loss,Wind_Gusts_kmph.range_224_280.Buildings,Wind_Gusts_kmph.range_224_280.Population,Wind_Gusts_kmph.range_224_280.Total_Loss,Wind_Gusts_kmph.range_280_+.Buildings,Wind_Gusts_kmph.range_280_+.Population,Wind_Gusts_kmph.range_280_+.Total_Loss,Inundation_Depth.range_<_0_01.Buildings,Inundation_Depth.range_<_0_01.Population,Inundation_Depth.range_<_0_01.Total_Loss,Inundation_Depth.range_0_01_0_5.Buildings,Inundation_Depth.range_0_01_0_5.Population,Inundation_Depth.range_0_01_0_5.Total_Loss,Inundation_Depth.range_0_5_1_0.Buildings,Inundation_Depth.range_0_5_1_0.Population,Inundation_Depth.range_0_5_1_0.Total_Loss,Inundation_Depth.range_1_0_1_5.Buildings,Inundation_Depth.range_1_0_1_5.Population,Inundation_Depth.range_1_0_1_5.Total_Loss,Inundation_Depth.range_1_5_2_0.Buildings,Inundation_Depth.range_1_5_2_0.Population,Inundation_Depth.range_1_5_2_0.Total_Loss,Inundation_Depth.range_2_0_+.Buildings,Inundation_Depth.range_2_0_+.Population,Inundation_Depth.range_2_0_+.Total_Loss
40696546B28890300568151,A'ana,109,175,4870,0,108,4928,2314,2745,2183,9692,2423868,776760,1647108,219650671,416545916,11759,0,3116,12804,23976,834,1562,0.52,0.52,385.51,62562,6414,62278709,27206150,0,28308378,7,0,15,4172340,0,4630478,0,0,7,7,35,74,287134160,0,5279632,289664946,511763481,2394182,0,36100,2430282,0,0,0,7902,20172,229218,1785,3804,2103011,5,0,98053,0,0,0,0,0,0,9584,20860,2351258,72,872,24593,34,2092,52935,2,152,1496,0,0,0,0,0,0
40696546B49290330070787,Aiga-i-le-Tai,120,173,2041,0,45,2058,1426,998,1060,2746,1374284,342096,1032189,68260521,91747756,3753,0,1504,4129,5017,256,318,0.46,0.46,60.81,18583,1989,9052328,1298855,5125,1298855,74,4,74,1047540,0,1089268,0,0,0,0,5,13,78205746,0,2307917,78967901,103188207,1368171,0,13227,1381398,0,0,0,1509,2665,59564,1215,2312,1303053,22,40,18781,0,0,0,0,0,0,2701,3513,1255521,35,656,81034,10,848,44843,0,0,0,0,0,0,0,0,0
40696546B98945941781197,Atua,107,200,4830,0,99,4867,1033,2152,2715,11107,660944,296982,363961,153999643,384445069,10034,0,3067,11251,22548,797,1591,0.69,0.69,378.57,153997,4598,115877870,5867667,42949,21023743,69,14,93,3333024,0,4355360,0,0,2,8,48,138,231803727,0,4543795,233020384,525702041,650626,0,57865,708491,16,64,0,10366,20210,95158,721,2266,609909,4,8,3424,0,0,0,0,0,0,11008,19481,600995,82,1130,96158,17,1937,11338,0,0,0,0,0,0,0,0,0
40696546B7360191323371,Fa'asaleleage,94,148,118,0,28,146,40,37,109,7323,40622,193,40428,9496127,316778516,203,0,2254,2296,13076,152,897,0.01,0.01,262.38,400,29,46400196,467999,29941,5742857,30,16,197,113882,0,3207389,0,0,11,23,5,65,9324952,0,1803788,11068112,372128958,40235,0,30357,70592,1809,3332,0,5494,9688,36796,20,56,33796,0,0,0,0,0,0,0,0,0,7295,10822,40235,28,2121,27094,0,133,3263,0,0,0,0,0,0,0,0,0
40696546B29733344515204,Gaga'emauga,96,170,1441,0,9,1441,536,1014,427,4233,395864,108246,287618,68270238,163641942,3452,0,794,3487,9220,155,594,0.0,0.0,145.59,0,0,38802900,888524,0,1146974,3,0,6,291661,0,2220711,0,0,0,0,3,41,78779445,0,309659,78779445,205812527,395013,0,851,395864,740,1486,0,3130,6988,73093,363,746,322771,0,0,0,0,0,0,0,0,0,4224,8426,380245,8,509,4637,1,278,10983,0,7,0,0,0,0,0,0,0
40696546B73222748388885,Gaga'ifomauga,100,154,1165,0,6,1165,477,707,458,2599,368286,90986,277300,47852845,99528260,2047,0,480,2047,5282,121,362,0.0,0.0,134.64,0,0,39890693,146700,0,983800,1,0,9,297743,0,3534229,0,0,0,5,19,40,60853134,0,94418,60853134,143936982,368286,0,0,368286,427,960,0,1843,3891,52934,329,431,315352,0,0,0,0,0,0,0,0,0,2593,4802,367600,6,472,686,0,8,0,0,0,0,0,0,0,0,0,0
40696546B52581022381772,Palauli,101,168,951,0,4,954,173,445,509,4798,284479,73298,211181,29013063,172067245,1750,0,690,2319,10086,209,759,0.0,0.0,201.55,0,0,56741058,772605,21620,2065535,5,1,12,881504,0,2029024,0,0,0,6,1,53,53390792,0,423496,53812191,232902862,284476,0,21623,306099,0,0,0,4672,9869,37201,126,217,268897,0,0,0,0,0,0,0,0,0,4794,9396,284169,4,577,21929,0,113,0,0,0,0,0,0,0,0,0,0
40696546B14854490588116,Satupa'itea,99,182,358,0,6,364,69,126,238,2572,47031,25986,21044,11217637,105385553,567,0,587,1068,4829,71,301,0.0,0.0,79.41,0,0,20819374,0,0,1068750,0,0,9,245152,0,1157952,0,0,0,2,2,25,17392135,0,270632,17662767,128431629,46855,0,176,47031,11,98,0,2506,4570,2552,52,140,37035,3,21,7444,0,0,0,0,0,0,2566,4242,46855,6,417,176,0,170,0,0,0,0,0,0,0,0,0,0
40696546B67155395868609,Tuamasaga,99,164,6583,0,148,6654,2009,3464,3190,38965,2501095,806666,1694429,425146985,2769572247,16528,0,7097,20056,98138,1219,4677,1.42,1.42,944.7,127014,5866,155598624,71344801,128093,95776148,599,30,687,3429516,629,5252939,0,6,0,48,32,290,543961366,0,23072359,556767905,3026199958,2414969,0,220714,2635683,200,298,0,37516,94829,412331,1248,3003,2222349,1,8,1003,0,0,0,0,0,0,38817,91041,2318901,122,3994,191068,26,3103,125714,0,0,0,0,0,0,0,0,0
40696546B75652468230151,Va'a-o-Fonoti,115,194,449,0,28,473,387,276,197,1035,553689,209345,344344,16311716,38083746,686,0,1117,1250,2486,80,139,0.19,0.19,30.13,21449,1822,6473726,493400,0,13835160,6,0,7,224288,0,448576,0,0,0,0,7,16,19069320,0,1107460,19846176,58841208,552942,0,2569,555511,0,0,0,697,2010,10794,332,476,529953,6,0,14763,0,0,0,0,0,0,1007,1369,536938,26,573,18090,2,544,483,0,0,0,0,0,0,0,0,0
