Time[fmt=yyyy-MM-dd'T'HH:mm:ss'Z'],Latitude,Longitude,Category,Pressure,MeanWind,WindGust,Uncertainty
2020-04-02T12:00:00Z,-10,157.9,1,998,35,44,0
2020-04-02T15:00:00Z,-10.1,158.8,1,998,35,44,0
2020-04-02T18:00:00Z,-10.2,159.8,1,998,35,44,0
2020-04-02T21:00:00Z,-10.4,160.7,1,997,35,44,0
2020-04-03T00:00:00Z,-10.7,161.5,1,996,35,44,0
2020-04-03T03:00:00Z,-11.3,161.9,1,995,40,50,0
2020-04-03T06:00:00Z,-11.9,162.2,1,993,45,56,0
2020-04-03T09:00:00Z,-12.3,162.6,1,993,48,60,0
2020-04-03T12:00:00Z,-12.7,163,2,992,50,63,0
2020-04-03T15:00:00Z,-13.2,163.5,2,986,58,73,0
2020-04-03T18:00:00Z,-13.6,164,3,980,65,81,0
2020-04-03T21:00:00Z,-13.8,164.1,3,973,73,91,0
2020-04-04T00:00:00Z,-13.9,164.2,3,965,80,100,0
2020-04-04T03:00:00Z,-14.1,164.5,3,956,90,113,0
2020-04-04T06:00:00Z,-14.3,164.9,4,947,100,125,0
2020-04-04T09:00:00Z,-14.4,165.1,4,948,100,125,0
2020-04-04T12:00:00Z,-14.6,165.3,4,948,100,125,0
2020-04-04T15:00:00Z,-14.8,165.6,4,950,98,123,0
2020-04-04T18:00:00Z,-15,165.8,4,952,95,119,0
2020-04-04T21:00:00Z,-15.3,165.8,4,955,93,116,0
2020-04-05T00:00:00Z,-15.6,165.7,4,957,90,113,0
2020-04-05T03:00:00Z,-15.7,165.6,4,958,90,113,0
2020-04-05T06:00:00Z,-15.6,165.5,4,958,90,113,0
2020-04-05T09:00:00Z,-15.5,165.5,4,955,93,116,0
2020-04-05T12:00:00Z,-15.4,165.6,4,952,95,119,0
2020-04-05T15:00:00Z,-15.4,165.9,4,945,103,129,0
2020-04-05T18:00:00Z,-15.5,166.2,5,938,110,138,0
2020-04-05T21:00:00Z,-15.5,166.5,5,938,110,138,0
2020-04-06T00:00:00Z,-15.6,166.9,5,938,110,138,0
2020-04-06T03:00:00Z,-15.7,167.3,5,934,113,141,0
2020-04-06T06:00:00Z,-15.8,167.8,5,930,115,144,0
2020-04-06T09:00:00Z,-15.9,168.3,5,925,120,150,0
2020-04-06T12:00:00Z,-16,168.8,5,920,125,156,0
2020-04-06T15:00:00Z,-16.2,169.2,5,922,123,154,0
2020-04-06T18:00:00Z,-16.4,169.6,5,924,120,150,0
2020-04-06T21:00:00Z,-16.5,170.4,5,932,115,144,0
2020-04-07T00:00:00Z,-16.6,171.2,5,939,110,138,0
2020-04-07T03:00:00Z,-16.8,171.7,5,944,105,131,0
2020-04-07T06:00:00Z,-17.1,172.3,4,948,100,125,0
2020-04-07T09:00:00Z,-17.2,173.1,4,953,98,123,0
2020-04-07T12:00:00Z,-17.3,174,4,957,95,119,0
2020-04-07T15:00:00Z,-17.5,174.9,4,959,93,116,0
2020-04-07T18:00:00Z,-17.8,175.8,4,960,90,113,0
2020-04-07T21:00:00Z,-18.3,176.8,4,958,93,116,0
2020-04-08T00:00:00Z,-18.9,177.9,4,956,95,119,0
2020-04-08T03:00:00Z,-19.3,179,4,956,95,119,0
2020-04-08T06:00:00Z,-19.7,180,4,955,95,119,0
2020-04-08T09:00:00Z,-20.1,-179,4,951,100,125,0
2020-04-08T12:00:00Z,-20.6,182,4,947,105,131,0
2020-04-08T15:00:00Z,-21.3,-176.7,4,949,103,129,0
2020-04-08T18:00:00Z,-22.1,184.6,4,951,100,125,0
2020-04-08T21:00:00Z,-22.6,-174.3,4,948,103,129,0
2020-04-09T00:00:00Z,-23.2,186.8,4,945,105,131,0
2020-04-09T03:00:00Z,-23.9,-171.7,4,947,103,129,0
2020-04-09T06:00:00Z,-24.7,190.1,4,949,100,125,0
