Asset,Total_Loss,Total_Wind_Loss,Total_Fluvial_Loss,Total_Coastal_Loss,Total_Exposed_Value,Total_Value,Number_Exposed,Number_Damaged,Total_Number,By_Loss.range_<_1.Number,By_Loss.range_<_1.Total_Loss,By_Loss.range_1_100.Number,By_Loss.range_1_100.Total_Loss,By_Loss.range_100_1000.Number,By_Loss.range_100_1000.Total_Loss,By_Loss.range_1000_10000.Number,By_Loss.range_1000_10000.Total_Loss,By_Loss.range_10000_100000.Number,By_Loss.range_10000_100000.Total_Loss,By_Loss.range_100000_+.Number,By_Loss.range_100000_+.Total_Loss
Water,0,0,0,0,1120000,2200000,10,0,16,16,0,0,0,0,0,0,0,0,0,0,0
School,0,0,0,0,0,0,95,0,166,166,0,0,0,0,0,0,0,0,0,0,0
Airport,0,0,0,0,29092874,33830690,2,0,6,6,0,0,0,0,0,0,0,0,0,0,0
Port,4300791,0,0,4300791,43680931,47569349,534,355,623,268,0,4,162,24,11632,141,727854,186,3561143,0,0
Building,34577932,25989394,0,8588538,2135139967,2645408952,39420,21089,53190,33303,519,5888,155363,7949,3461961,5444,15564536,596,13370008,10,2025546
Road,3651764,0,0,3651764,234618791,308696620,182302,16250,239690,223440,0,5494,292887,10152,2519224,604,839653,0,0,0,0
Evacuation Centre,0,0,0,0,0,0,12,0,42,42,0,0,0,0,0,0,0,0,0,0,0
Health Facility,0,0,0,0,0,0,28,0,41,41,0,0,0,0,0,0,0,0,0,0,0
Telecommunication,208545,23140,0,185405,7250000,10125000,59,20,85,65,0,0,0,6,3346,5,11824,9,193375,0,0
Bridge,850074,0,0,850074,3190773,6659387,3,3,7,4,0,0,0,0,0,0,0,1,27428,2,822646
Crop,522185,0,0,522185,20165536,25559307,32477,1580,44457,42877,0,332,7234,1248,514951,0,0,0,0,0,0
Power,539067,9949,0,529118,14783277,17128902,9,2,19,17,0,0,0,0,0,1,9949,0,0,1,529118
