Sector,Region,Total_Loss,Total_Wind_Loss,Total_Fluvial_Loss,Total_Coastal_Loss,Total_Exposed_Value,Total_Value,Number_Exposed_Buildings,Number_Damaged_Buildings,Total_Number_Buildings,Building_Loss,Total_Exposed_Building_Value,Total_Building_Value,By_Loss.range_<_1.Number,By_Loss.range_<_1.Total_Loss,By_Loss.range_1_100.Number,By_Loss.range_1_100.Total_Loss,By_Loss.range_100_1000.Number,By_Loss.range_100_1000.Total_Loss,By_Loss.range_1000_10000.Number,By_Loss.range_1000_10000.Total_Loss,By_Loss.range_10000_100000.Number,By_Loss.range_10000_100000.Total_Loss,By_Loss.range_100000_+.Number,By_Loss.range_100000_+.Total_Loss
Productive,,258,0,0,258,2730,318045,0,0,0,0,0,0,457,0,2,31,1,227,0,0,0,0,0,0
Unknown,,3145,0,0,3145,24501,529295,3,2,36,3145,24501,529295,34,0,0,0,1,446,1,2699,0,0,0,0
Education,'Eua,0,0,0,0,1855213,1855213,22,0,22,0,1855213,1855213,22,0,0,0,0,0,0,0,0,0,0,0
Infrastructure,'Eua,78484,4356,0,74128,20667047,20667047,3,1,3,18,137265,137265,28684,0,6,124,15,6960,14,43971,1,27428,0,0
Other,'Eua,87793,87793,0,0,7992438,7992438,337,69,337,87793,7992438,7992438,268,0,17,845,34,13430,17,57379,1,16139,0,0
Productive,'Eua,99745,99745,0,0,4735614,4735614,47,14,47,99745,2420121,2420121,3526,0,3,196,3,1913,6,25379,1,72257,0,0
Public,'Eua,788,788,0,0,12116836,12116836,85,10,85,788,12116836,12116836,75,0,8,334,2,454,0,0,0,0,0,0
Residential,'Eua,467587,467587,0,0,55092484,55092484,1096,389,1096,467587,55092484,55092484,728,9,178,4201,120,43262,56,143962,14,276153,0,0
Unknown,'Eua,3198123,3198123,0,0,34338686,34338686,995,663,995,3198123,34338686,34338686,332,0,41,2135,245,118869,304,1128054,72,1788291,1,160773
Education,Ha'apai,0,0,0,0,0,9485030,0,0,33,0,0,9485030,33,0,0,0,0,0,0,0,0,0,0,0
Infrastructure,Ha'apai,3402,0,0,3402,42594,19422048,0,0,4,0,0,225445,18412,0,22,1047,14,2355,0,0,0,0,0,0
Other,Ha'apai,270,0,0,270,47547,4278767,1,1,293,270,47547,4278767,292,0,0,0,1,270,0,0,0,0,0,0
Productive,Ha'apai,4576,0,0,4576,8190,5641496,0,0,82,0,0,4162605,3458,0,6,268,15,4308,0,0,0,0,0,0
Public,Ha'apai,0,0,0,0,0,10727980,0,0,96,0,0,10727980,96,0,0,0,0,0,0,0,0,0,0,0
Residential,Ha'apai,700,0,0,700,53542,41818285,2,1,1496,700,53542,41818285,1495,0,0,0,1,700,0,0,0,0,0,0
Unknown,Ha'apai,9474,0,0,9474,796786,60836257,27,20,2619,9474,796786,60836257,2599,0,3,108,13,3863,4,5503,0,0,0,0
Infrastructure,Niuas,5434,0,0,5434,49395,7911588,0,0,1,0,0,10205,8438,0,42,1892,10,3542,0,0,0,0,0,0
Other,Niuas,0,0,0,0,0,249944,0,0,6,0,0,249944,6,0,0,0,0,0,0,0,0,0,0,0
Productive,Niuas,3115,0,0,3115,7020,638723,0,0,5,0,0,101793,1353,0,6,218,12,2897,0,0,0,0,0,0
Public,Niuas,0,0,0,0,0,175353,0,0,5,0,0,175353,5,0,0,0,0,0,0,0,0,0,0,0
Residential,Niuas,0,0,0,0,0,7047683,0,0,262,0,0,7047683,262,0,0,0,0,0,0,0,0,0,0,0
Unknown,Niuas,43,0,0,43,163209,11710684,2,1,455,43,163209,11710684,454,0,1,43,0,0,0,0,0,0,0,0
Education,Tongatapu,41143,346,0,40797,5335068,5335068,43,23,43,41143,5335068,5335068,20,0,1,43,7,3598,15,37502,0,0,0,0
Infrastructure,Tongatapu,8735687,245225,0,8490462,314680177,322095961,110,56,122,234653,5794618,6583511,140278,3,5304,284929,10092,2507294,727,1526415,192,3712714,2,704331
Other,Tongatapu,1043710,719506,0,324204,69908427,71685158,2364,1307,2445,1043710,69908427,71685158,1182,24,552,14763,531,193966,165,435618,14,231152,1,168187
Productive,Tongatapu,2886454,899115,0,1987339,279569011,281381432,2172,1200,2211,2373468,261740060,263429835,28673,29,672,16060,1657,694635,300,924522,40,1028796,1,222412
Public,Tongatapu,1439595,382413,0,1057182,216021711,218622316,1330,671,1372,1439595,216021711,218622316,728,12,222,6031,205,83163,183,573385,34,777005,0,0
Residential,Tongatapu,10088767,4995530,0,5093237,1116011007,1147557892,20920,10878,21704,10088767,1116011007,1147557892,11863,440,3936,89948,3496,1567192,2272,5818637,137,2612550,0,0
Unknown,Tongatapu,15474077,14921957,0,552120,342475332,356826541,9826,5772,10390,15474077,342475332,356826541,4620,1,546,26852,2827,1233830,2109,6366446,282,6547988,6,1298960
Education,Vava'u,0,0,0,0,92816,7990741,1,0,40,0,92816,7990741,40,0,0,0,0,0,0,0,0,0,0,0
Infrastructure,Vava'u,961905,0,0,961905,4229316,64985411,0,0,41,0,0,1915683,28120,0,146,5465,66,19406,19,52907,4,61481,2,822646
Other,Vava'u,1662,0,0,1662,257568,23151980,6,3,967,1662,257568,23151980,964,0,1,66,1,315,1,1281,0,0,0,0
Productive,Vava'u,2016,0,0,2016,436750,28115648,3,1,401,766,433598,25157297,7003,0,2,12,6,2004,0,0,0,0,0,0
Public,Vava'u,9139,0,0,9139,862360,32753674,3,1,274,9139,862360,32753674,273,0,0,0,0,0,1,9139,0,0,0,0
Residential,Vava'u,265,0,0,265,676627,185351262,10,1,4218,265,676627,185351262,4217,0,0,0,1,265,0,0,0,0,0,0
Unknown,Vava'u,3002,0,0,3002,492146,33735625,12,5,984,3002,492146,33735625,979,0,1,35,3,1951,1,1016,0,0,0,0
