Sector,Region,Total_Loss,Total_Wind_Loss,Total_Fluvial_Loss,Total_Coastal_Loss,Total_Exposed_Value,Total_Value,Number_Exposed_Buildings,Number_Damaged_Buildings,Total_Number_Buildings,Building_Loss,Total_Exposed_Building_Value,Total_Building_Value,By_Loss.range_<_1.Number,By_Loss.range_<_1.Total_Loss,By_Loss.range_1_100.Number,By_Loss.range_1_100.Total_Loss,By_Loss.range_100_1000.Number,By_Loss.range_100_1000.Total_Loss,By_Loss.range_1000_10000.Number,By_Loss.range_1000_10000.Total_Loss,By_Loss.range_10000_100000.Number,By_Loss.range_10000_100000.Total_Loss,By_Loss.range_100000_+.Number,By_Loss.range_100000_+.Total_Loss
Education,Malampa,62519,62519,0,0,2539323,2539323,30,14,30,62519,2539323,2539323,16,0,0,0,4,2053,9,29567,1,30899,0,0
Infrastructure,Malampa,56345,27368,0,28977,48856622,53669674,48,36,53,27318,1848952,2087342,61539,1,86,3392,65,27009,7,15454,1,10489,0,0
Other,Malampa,1145283,1145143,0,140,40507265,42707958,2151,1738,2239,1145283,40507265,42707958,513,8,979,24453,454,163234,283,828223,10,129366,0,0
Productive,Malampa,337636,318960,0,18676,37387673,38404040,469,346,492,319374,22829966,23503901,30090,9,174,3606,148,60755,58,139101,9,134165,0,0
Public,Malampa,171470,167253,0,4217,11558978,12399454,238,173,252,171470,11558978,12399454,85,4,74,1471,52,18265,38,106527,3,45203,0,0
Residential,Malampa,3791025,3789057,0,1968,88940499,94830996,4118,3235,4364,3791025,88940499,94830996,1417,141,1303,23366,896,388457,685,2248689,62,1009765,1,120606
Unknown,Malampa,53285707,53223624,0,62083,433070332,480842723,22303,18193,24244,53285707,433070332,480842723,6065,7,1501,77352,8131,3851526,7427,23752384,1104,23581967,16,2022470
Infrastructure,Penama,58474,49856,0,8618,102392235,102804745,25,23,25,49158,1508748,1508748,49210,1,10,331,26,11854,2,8291,2,37996,0,0
Other,Penama,490430,490430,0,0,12533196,12791034,272,265,276,490430,12533196,12791034,11,0,102,4423,111,34568,37,110743,15,340697,0,0
Productive,Penama,379950,373907,0,6043,17473283,18634661,208,188,219,373907,10197296,11213943,14428,3,71,2399,65,23025,48,182579,11,171946,0,0
Public,Penama,412205,412205,0,0,10509145,11168777,130,119,135,412205,10509145,11168777,16,0,36,1691,40,14805,34,121064,9,274645,0,0
Residential,Penama,3669107,3634654,0,34453,72087701,74782055,2252,2168,2281,3669107,72087701,74782055,193,49,1029,30520,500,178736,455,1670296,104,1789506,0,0
Unknown,Penama,145605104,145592829,0,12275,751932840,753891667,20224,19820,20270,145605104,751932840,753891667,458,4,777,40435,5008,2481397,10235,40576488,3723,83822263,69,18684518
Infrastructure,Sanma,4971136,3410,0,4967726,112856452,311694094,7,7,42,21560,317285,2480597,127238,0,1043,63008,649,156154,260,946746,189,3805228,0,0
Other,Sanma,155654,87825,0,67829,20671224,85667134,246,139,1316,155654,20671224,85667134,1177,0,66,2402,41,13984,29,95580,3,43688,0,0
Productive,Sanma,655493,260485,0,395008,98677562,242830177,332,174,1257,572939,93705247,217994949,34792,2,155,3959,252,94096,40,134509,15,422926,0,0
Public,Sanma,52154,12808,0,39346,17494580,49829699,102,58,322,52154,17494580,49829699,267,0,34,1045,14,4520,5,12810,2,33778,0,0
Residential,Sanma,1104814,787827,0,316987,92339004,365472975,1287,718,6501,1104814,92339004,365472975,5864,28,345,8750,150,58700,115,367727,26,548916,1,120692
Unknown,Sanma,14414848,13053031,0,1361817,250470787,1195351812,7338,3727,33363,14414848,250470787,1195351812,29643,3,399,19675,1556,640265,1393,4858119,366,7642318,6,1254467
Education,Shefa,0,0,0,0,0,69810873,0,0,247,0,0,69810873,247,0,0,0,0,0,0,0,0,0,0,0
Infrastructure,Shefa,480506,0,0,480506,7242609,265586198,1,1,90,7561,356927,17136552,140011,0,444,21723,92,42803,97,393021,2,22959,0,0
Other,Shefa,3749,7,0,3742,548910,182993174,5,3,2708,3749,548910,182993174,2705,0,2,68,0,0,1,3681,0,0,0,0
Productive,Shefa,43844,190,0,43654,9949859,545515266,53,28,1981,39318,9895739,541253679,9737,1,36,920,32,9635,4,16778,1,16511,0,0
Public,Shefa,0,0,0,0,283497,227785806,3,0,848,0,283497,227785806,848,0,0,0,0,0,0,0,0,0,0,0
Residential,Shefa,44621,15378,0,29243,12342383,1472678697,91,49,12934,44621,12342383,1472678697,12892,2,14,256,14,7525,14,36838,0,0,0,0
Unknown,Shefa,316048,273940,0,42108,30944063,1439098892,896,495,24547,316048,30944063,1439098892,24052,0,113,6060,289,111801,93,198187,0,0,0,0
